q_locus_tag	cc_id
EQU24_RS21720	173
EQU24_RS21750	174
EQU24_RS21755	174
EQU24_RS21920	175
EQU24_RS21930	175
EQU24_RS21995	29
EQU24_RS22175	17
EQU24_RS22180	19
EQU24_RS22220	31
EQU24_RS22225	32
EQU24_RS22230	35
EQU24_RS22265	50
EQU24_RS22300	70
EQU24_RS22315	3
EQU24_RS22315	3
EQU24_RS22360	176
EQU24_RS22390	111
EQU24_RS22395	112
EQU24_RS22415	114
EQU24_RS22420	176
EQU24_RS22440	29
EQU24_RS22440	29
EQU24_RS22640	163
EQU24_RS22760	135
EQU24_RS22820	160
EQU24_RS22845	43
EQU24_RS22845	43
EQU24_RS22950	104
EQU24_RS22980	105
EQU24_RS23025	43
EQU24_RS23025	43
EQU24_RS23135	177
EQU24_RS23135	177
EQU24_RS23145	177
EQU24_RS23145	177
EQU24_RS23155	177
EQU24_RS23155	177
EQU24_RS23165	171
