model_name	split	mac_precision	mac_recall	mac_f1	support	model_type	ds_size	seq_len	fold	best_val_score	epoch_stop	total_time
2CNN_pool_fold2_300bp_10000seqs	test	0.9526911625836412	0.9937747165046694	0.9724102616078646	2000	2CNN_pool	10000	300	2	0.0687400895953178	2758	1072.8664002418518
CNN_simple_fold2_300bp_10000seqs	train	0.8755579379594011	0.9889952836930114	0.9255793527238656	8000	CNN_simple	10000	300	2	0.8406493988037109	283	157.17615246772766
CNN_simple_fold2_300bp_10000seqs	test	0.334587594621925	0.3347001495047112	0.3341572231753891	2000	CNN_simple	10000	300	2	0.8406493988037109	283	157.17615246772766
2CNN_fold1_300bp_10000seqs	train	0.7552907178749164	0.9712257634224192	0.8336483902518245	8000	2CNN	10000	300	1	0.8372295227050781	293	211.1337535381317
2CNN_fold1_300bp_10000seqs	test	0.333212150455337	0.3331517908607473	0.3304967292661067	2000	2CNN	10000	300	1	0.8372295227050781	293	211.1337535381317
CNN_simple_fold2_150bp_2000seqs	train	0.7139466546112115	0.9812458137977226	0.8069348188925213	1600	CNN_simple	2000	150	2	0.4651957941055298	134	23.369494199752808
CNN_simple_fold2_150bp_2000seqs	test	0.3526536312849161	0.3497628376984945	0.3505825746497475	400	CNN_simple	2000	150	2	0.4651957941055298	134	23.369494199752808
CNN_simple_fold1_150bp_10000seqs	train	0.7299662180871684	0.9848040522527328	0.822781987381498	8000	CNN_simple	10000	150	1	0.5365354113578796	393	169.52632570266724
CNN_simple_fold1_150bp_10000seqs	test	0.3243844520893372	0.3188058329044433	0.3205947178179599	2000	CNN_simple	10000	150	1	0.5365354113578796	393	169.52632570266724
CNN_simple_fold4_300bp_2000seqs	train	0.784885895997007	0.9773970973114442	0.8600482182898688	1600	CNN_simple	2000	300	4	0.6266347980499267	75	23.993560075759888
CNN_simple_fold4_300bp_2000seqs	test	0.3520186633731302	0.3513419913419913	0.351616931152326	400	CNN_simple	2000	300	4	0.6266347980499267	75	23.993560075759888
2CNN_pool_fold3_300bp_2000seqs	train	0.7373940205265507	0.9693076374018558	0.819584201806424	1600	2CNN_pool	2000	300	3	0.8016951680183411	829	77.98534178733826
2CNN_pool_fold3_300bp_2000seqs	test	0.3301226923517945	0.33	0.3269894902535502	400	2CNN_pool	2000	300	3	0.8016951680183411	829	77.98534178733826
2CNN_fold0_300bp_6000seqs	train	0.6144818462232509	0.9310294064660252	0.6909102024638395	4800	2CNN	6000	300	0	0.8945940256118774	248	121.79839324951172
2CNN_fold0_300bp_6000seqs	test	0.3246908773717264	0.3188799504588978	0.3098212000461049	1200	2CNN	6000	300	0	0.8945940256118774	248	121.79839324951172
2CNN_pool_fold2_50bp_6000seqs	train	0.7064722911497104	0.994621372965322	0.8074027274026564	4800	2CNN_pool	6000	50	2	0.073533797810475	2332	370.838812828064
2CNN_pool_fold2_50bp_6000seqs	test	0.5965533201020091	0.8262531860662702	0.6739206380594555	1200	2CNN_pool	6000	50	2	0.073533797810475	2332	370.838812828064
2CNN_pool_fold4_300bp_10000seqs	train	0.9993238674780256	0.9999523605354677	0.999637769090008	8000	2CNN_pool	10000	300	4	0.0362771154344081	2883	923.5326919555664
2CNN_pool_fold4_300bp_10000seqs	test	0.9867833370068329	0.996442907852106	0.9915714594552092	2000	2CNN_pool	10000	300	4	0.0362771154344081	2883	923.5326919555664
CNN_simple_fold2_50bp_6000seqs	train	0.7903479766965833	0.997098372257608	0.8741109627759723	4800	CNN_simple	6000	50	2	0.2053646649916966	707	112.53065943717957
CNN_simple_fold2_50bp_6000seqs	test	0.3896040845395364	0.4168616430298673	0.4002443448570209	1200	CNN_simple	6000	50	2	0.2053646649916966	707	112.53065943717957
2CNN_pool_fold2_150bp_2000seqs	train	0.7433957254745786	0.9850413038624692	0.8334685708358068	1600	2CNN_pool	2000	150	2	0.5196452045440674	1523	100.49862813949584
2CNN_pool_fold2_150bp_2000seqs	test	0.3350434096290449	0.327696432254073	0.3312673217435122	400	2CNN_pool	2000	150	2	0.5196452045440674	1523	100.49862813949584
2CNN_pool_fold0_50bp_10000seqs	train	0.5665297996764962	0.9867346938775512	0.6704238735616689	8000	2CNN_pool	10000	50	0	0.1243753991127014	2066	588.8805294036865
2CNN_pool_fold0_50bp_10000seqs	test	0.5174106548996803	0.9188506981740064	0.6075092773239623	2000	2CNN_pool	10000	50	0	0.1243753991127014	2066	588.8805294036865
CNN_simple_fold4_50bp_6000seqs	train	0.7528872958980486	0.9962491153573956	0.8464487796062622	4800	CNN_simple	6000	50	4	0.1682583338022232	446	88.66113257408142
CNN_simple_fold4_50bp_6000seqs	test	0.3429224303260292	0.3499117704725181	0.3452619955832162	1200	CNN_simple	6000	50	4	0.1682583338022232	446	88.66113257408142
2CNN_fold0_300bp_10000seqs	train	0.6154461330251108	0.915135541795464	0.6915467613174248	8000	2CNN	10000	300	0	0.8161639986038208	162	178.61015725135803
2CNN_fold0_300bp_10000seqs	test	0.3450118379654621	0.3517160793391811	0.3389750268717661	2000	2CNN	10000	300	0	0.8161639986038208	162	178.61015725135803
2CNN_fold2_50bp_6000seqs	train	0.8089915548931943	0.997381457891012	0.8832093756185198	4800	2CNN	6000	50	2	0.1669134817520777	822	172.98238348960876
2CNN_fold2_50bp_6000seqs	test	0.4112720045428733	0.4604361370716511	0.4300843067325415	1200	2CNN	6000	50	2	0.1669134817520777	822	172.98238348960876
2CNN_fold1_50bp_2000seqs	train	0.7018460466736328	0.9940400170285228	0.8033326842472018	1600	2CNN	2000	50	1	0.2871762657165527	678	53.7420814037323
2CNN_fold1_50bp_2000seqs	test	0.3634619075033583	0.3889173060528559	0.3719433719433719	400	2CNN	2000	50	1	0.2871762657165527	678	53.7420814037323
CNN_simple_fold3_150bp_6000seqs	train	0.6865322781105418	0.9798294401186504	0.7841954896593855	4800	CNN_simple	6000	150	3	0.6632899554570516	384	93.79549646377563
CNN_simple_fold3_150bp_6000seqs	test	0.3491551413829213	0.3702362367842794	0.3484985151843716	1200	CNN_simple	6000	150	3	0.6632899554570516	384	93.79549646377563
2CNN_fold4_300bp_10000seqs	train	0.8734366844138219	0.9888047258348815	0.9243439557922116	8000	2CNN	10000	300	4	0.7899870882034302	542	301.0797851085663
2CNN_fold4_300bp_10000seqs	test	0.3558598142918663	0.3601069077800555	0.3573336037852871	2000	2CNN	10000	300	4	0.7899870882034302	542	301.0797851085663
CNN_simple_fold2_300bp_6000seqs	train	0.566099186063373	0.8506100693128751	0.6261763022267836	4800	CNN_simple	6000	300	2	0.8654790178934733	41	65.17534899711609
CNN_simple_fold2_300bp_6000seqs	test	0.3240333336417783	0.3067289435710488	0.3022947127973851	1200	CNN_simple	6000	300	2	0.8654790178934733	41	65.17534899711609
2CNN_fold2_300bp_10000seqs	train	0.8779535417770711	0.9892334810156734	0.9270882678963926	8000	2CNN	10000	300	2	0.7119240760803223	833	518.9844992160797
2CNN_fold2_300bp_10000seqs	test	0.4037269193511414	0.4210620354488279	0.4110026410784488	2000	2CNN	10000	300	2	0.7119240760803223	833	518.9844992160797
CNN_simple_fold4_150bp_2000seqs	train	0.7848101265822786	0.9886135298057602	0.8653508673123119	1600	CNN_simple	2000	150	4	0.4639921522140502	172	24.551597833633423
CNN_simple_fold4_150bp_2000seqs	test	0.3557900908824392	0.3639729350185114	0.3598067987282954	400	CNN_simple	2000	150	4	0.4639921522140502	172	24.551597833633423
2CNN_pool_fold0_300bp_6000seqs	train	0.9504304999468518	0.9960108504866764	0.9722382170465962	4800	2CNN_pool	6000	300	0	0.6050250975290934	2925	533.8498163223267
2CNN_pool_fold0_300bp_6000seqs	test	0.4597777419725559	0.4277231540389435	0.4401631367198082	1200	2CNN_pool	6000	300	0	0.6050250975290934	2925	533.8498163223267
CNN_simple_fold3_50bp_6000seqs	train	0.6954022988505747	0.994692144373673	0.7992571397554299	4800	CNN_simple	6000	50	3	0.2128290758530298	506	94.248055934906
CNN_simple_fold3_50bp_6000seqs	test	0.3529189956525596	0.3727207372067185	0.358520081623382	1200	CNN_simple	6000	50	3	0.2128290758530298	506	94.248055934906
2CNN_pool_fold2_50bp_10000seqs	train	0.8276573787409701	0.9976190476190476	0.8997968533495583	8000	2CNN_pool	10000	50	2	0.0477543569505214	2638	699.044356584549
2CNN_pool_fold2_50bp_10000seqs	test	0.730734004127967	0.9481292517006802	0.814599073766671	2000	2CNN_pool	10000	50	2	0.0477543569505214	2638	699.044356584549
2CNN_fold0_150bp_10000seqs	train	1.0	1.0	1.0	8000	2CNN	10000	150	0	0.1665921095609664	2758	825.223130941391
2CNN_fold0_150bp_10000seqs	test	0.7620428973277075	0.7128921370160691	0.733734544341926	2000	2CNN	10000	150	0	0.1665921095609664	2758	825.223130941391
2CNN_pool_fold1_50bp_10000seqs	train	0.6970284237726099	0.9940051020408164	0.7974729401748947	8000	2CNN_pool	10000	50	1	0.0595016614198684	2395	619.1403522491455
2CNN_pool_fold1_50bp_10000seqs	test	0.6590815147910408	0.9606009070294784	0.7512859076777018	2000	2CNN_pool	10000	50	1	0.0595016614198684	2395	619.1403522491455
2CNN_pool_fold3_150bp_2000seqs	train	0.6556764658112717	0.9736548336682296	0.7532279230178277	1600	2CNN_pool	2000	150	3	0.5269892984628677	1177	84.01155614852905
