,model_name,split,mac_precision,mac_recall,mac_f1,support,model_type,ds_size,seq_len,fold,best_val_score,epoch_stop,total_time
0,2CNN_pool_fold2_90bp_10000seqs,train,0.9381225595664994,0.998810023799524,0.966957896922047,4928,2CNN_pool,10000,90,2,0.1149293355544045,3190,486.9571704864502
1,2CNN_pool_fold2_90bp_10000seqs,test,0.6715682545317763,0.718365010304557,0.6915635236543946,1233,2CNN_pool,10000,90,2,0.1149293355544045,3190,486.9571704864502
0,2CNN_pool_fold1_120bp_10000seqs,train,0.844784081897484,0.9954411991964148,0.9087574476254758,4495,2CNN_pool,10000,120,1,0.2336846291488599,1242,215.33051180839536
1,2CNN_pool_fold1_120bp_10000seqs,test,0.4828942701974762,0.4570898980537534,0.4658435867752542,1124,2CNN_pool,10000,120,1,0.2336846291488599,1242,215.33051180839536
0,2CNN_pool_fold0_90bp_10000seqs,train,0.935290404040404,0.998740025199496,0.965304286690766,4928,2CNN_pool,10000,90,0,0.1160178988422693,2269,364.4402062892914
1,2CNN_pool_fold0_90bp_10000seqs,test,0.6281400666037079,0.731557387476783,0.6683616125028288,1233,2CNN_pool,10000,90,0,0.1160178988422693,2269,364.4402062892914
0,2CNN_pool_fold2_130bp_10000seqs,train,0.9045601647543396,0.9979088247595148,0.9465174334831706,4965,2CNN_pool,10000,130,2,0.1597480246266305,1906,325.477430343628
1,2CNN_pool_fold2_130bp_10000seqs,test,0.581815860720101,0.600891861761427,0.5908107868132983,1242,2CNN_pool,10000,130,2,0.1597480246266305,1906,325.477430343628
0,2CNN_pool_fold0_40bp_10000seqs,train,0.7135261194029852,0.9945536550080843,0.8134060232167433,8000,2CNN_pool,10000,40,0,0.0725722674131393,3468,880.8920004367828
1,2CNN_pool_fold0_40bp_10000seqs,test,0.6107604184931906,0.9581375553285666,0.7113164298558831,2000,2CNN_pool,10000,40,0,0.0725722674131393,3468,880.8920004367828
0,2CNN_pool_fold4_40bp_2000seqs,train,0.9035087719298244,0.99764353041988,0.9424073293147784,1600,2CNN_pool,2000,40,4,0.2150119957327842,2307,132.7553951740265
1,2CNN_pool_fold4_40bp_2000seqs,test,0.4589940323955669,0.4225731423674868,0.4376068376068376,400,2CNN_pool,2000,40,4,0.2150119957327842,2307,132.7553951740265
0,2CNN_pool_fold1_90bp_6000seqs,train,0.8416091954022988,0.995489954899549,0.906200171493421,2539,2CNN_pool,6000,90,1,0.2643742795065632,1180,112.43914794921876
1,2CNN_pool_fold1_90bp_6000seqs,test,0.3387585621628174,0.34640605296343,0.3420076968464065,635,2CNN_pool,6000,90,1,0.2643742795065632,1180,112.43914794921876
0,2CNN_pool_fold0_20bp_2000seqs,train,0.6665051679586563,0.9903474903474904,0.7684073136570687,1600,2CNN_pool,2000,20,0,0.219444610774517,1547,109.79134917259216
1,2CNN_pool_fold0_20bp_2000seqs,test,0.513296586403636,0.561145795078957,0.5338946459412781,400,2CNN_pool,2000,20,0,0.219444610774517,1547,109.79134917259216
0,2CNN_pool_fold2_30bp_10000seqs,train,0.7338748208313426,0.9951086725362596,0.8285625723359749,8000,2CNN_pool,10000,30,2,0.0624004461169242,2263,623.042201757431
1,2CNN_pool_fold2_30bp_10000seqs,test,0.6309862348196092,0.9442135200175016,0.7296987193722703,2000,2CNN_pool,10000,30,2,0.0624004461169242,2263,623.042201757431
0,2CNN_pool_fold3_50bp_10000seqs,train,0.8064311660450035,0.9971066292230448,0.8853117634931268,8000,2CNN_pool,10000,50,3,0.0442467845678329,2035,523.9818449020386
1,2CNN_pool_fold3_50bp_10000seqs,test,0.7080200501253132,0.9945550450910328,0.8103008151421839,2000,2CNN_pool,10000,50,3,0.0442467845678329,2035,523.9818449020386
0,2CNN_pool_fold3_20bp_10000seqs,train,0.7143280959390226,0.993335042296847,0.8140959476332279,8000,2CNN_pool,10000,20,3,0.0450923636853694,4959,1048.9414920806885
1,2CNN_pool_fold3_20bp_10000seqs,test,0.6946008199146275,0.964834125735697,0.7908388511986263,2000,2CNN_pool,10000,20,3,0.0450923636853694,4959,1048.9414920806885
0,2CNN_pool_fold3_20bp_2000seqs,train,0.7730434782608695,0.9942084942084942,0.8584712755598831,1600,2CNN_pool,2000,20,3,0.1254940458014607,2030,112.4196276664734
1,2CNN_pool_fold3_20bp_2000seqs,test,0.6278659611992945,0.8221936589545843,0.6801477618426771,400,2CNN_pool,2000,20,3,0.1254940458014607,2030,112.4196276664734
0,2CNN_pool_fold3_100bp_6000seqs,train,0.8115773115773116,0.9940811318030892,0.8871326328612761,2412,2CNN_pool,6000,100,3,0.3330877427233765,1447,125.14884424209596
1,2CNN_pool_fold3_100bp_6000seqs,test,0.364113005474262,0.3687729993958368,0.3660635679119606,604,2CNN_pool,6000,100,3,0.3330877427233765,1447,125.14884424209596
0,2CNN_pool_fold4_60bp_2000seqs,train,0.7811671087533156,0.995667870036101,0.8668278357854771,1422,2CNN_pool,2000,60,4,0.2874415585499131,1334,73.15406012535095
1,2CNN_pool_fold4_60bp_2000seqs,test,0.3588003933136676,0.3846301633045149,0.3661159701976028,356,2CNN_pool,2000,60,4,0.2874415585499131,1334,73.15406012535095
0,2CNN_pool_fold2_80bp_6000seqs,train,0.9235845040442742,0.9985574789169996,0.9584192794258812,3103,2CNN_pool,6000,80,2,0.108044635845329,2004,211.032719373703
1,2CNN_pool_fold2_80bp_6000seqs,test,0.6617777777777778,0.6698874435225965,0.6656615247954355,776,2CNN_pool,6000,80,2,0.108044635845329,2004,211.032719373703
0,2CNN_pool_fold4_30bp_6000seqs,train,0.6689368431792674,0.9918196044956608,0.7718308812402931,4800,2CNN_pool,6000,30,4,0.0674387774864832,2247,382.9319977760315
1,2CNN_pool_fold4_30bp_6000seqs,test,0.666374269005848,0.9712831332362152,0.7554027574027362,1200,2CNN_pool,6000,30,4,0.0674387774864832,2247,382.9319977760315
0,2CNN_pool_fold0_90bp_6000seqs,train,0.9277883196289268,0.9982233155664888,0.9599942397535828,2539,2CNN_pool,6000,90,0,0.2371561777403974,2316,190.23934650421145
1,2CNN_pool_fold0_90bp_6000seqs,test,0.4692754054456181,0.4597029564242679,0.4642693773128555,635,2CNN_pool,6000,90,0,0.2371561777403974,2316,190.23934650421145
0,2CNN_pool_fold2_20bp_2000seqs,train,0.6503882915173237,0.9877734877734876,0.7546361199541783,1600,2CNN_pool,2000,20,2,0.1759027702361345,1267,80.19693160057068
1,2CNN_pool_fold2_20bp_2000seqs,test,0.3818528290823805,0.4607663116660546,0.402048611111111,400,2CNN_pool,2000,20,2,0.1759027702361345,1267,80.19693160057068
0,2CNN_pool_fold2_140bp_10000seqs,train,0.9730443974630022,0.9995297595055757,0.9859532562464524,5129,2CNN_pool,10000,140,2,0.2417875679627399,2523,433.38796162605286
1,2CNN_pool_fold2_140bp_10000seqs,test,0.4109429296979417,0.4022794422875003,0.4062335187737118,1283,2CNN_pool,10000,140,2,0.2417875679627399,2523,433.38796162605286
0,2CNN_pool_fold3_40bp_10000seqs,train,0.7606792920491072,0.9957875925453152,0.8487294763166243,8000,2CNN_pool,10000,40,3,0.0577737954854965,2362,626.9911205768585
1,2CNN_pool_fold3_40bp_10000seqs,test,0.6455786155798436,0.930047667688117,0.7361740049659513,2000,2CNN_pool,10000,40,3,0.0577737954854965,2362,626.9911205768585
0,2CNN_pool_fold0_140bp_10000seqs,train,0.7579545014145642,0.9935509875050382,0.8486569326611861,5129,2CNN_pool,10000,140,0,0.2190671220642463,860,196.15091848373413
1,2CNN_pool_fold0_140bp_10000seqs,test,0.3666079102874026,0.3546760921055845,0.3574258115219705,1283,2CNN_pool,10000,140,0,0.2190671220642463,860,196.15091848373413
0,2CNN_pool_fold0_70bp_2000seqs,train,0.8412698412698413,0.9967524936209696,0.9077250235144972,1479,2CNN_pool,2000,70,0,0.1654293853688884,968,59.6987190246582
1,2CNN_pool_fold0_70bp_2000seqs,test,0.5268698060941829,0.4715479506565858,0.4944444444444444,370,2CNN_pool,2000,70,0,0.1654293853688884,968,59.6987190246582
0,2CNN_pool_fold3_100bp_2000seqs,train,0.7541050903119868,0.992161254199328,0.8451080684083516,929,2CNN_pool,2000,100,3,0.3894649554731508,558,28.692312955856323
1,2CNN_pool_fold3_100bp_2000seqs,test,0.320754716981132,0.3035714285714285,0.3119266055045872,233,2CNN_pool,2000,100,3,0.3894649554731508,558,28.692312955856323
0,2CNN_pool_fold0_120bp_2000seqs,train,0.9075224292615596,0.99783315276273,0.9486738090285,961,2CNN_pool,2000,120,0,0.3531220900319918,893,38.69461727142334
1,2CNN_pool_fold0_120bp_2000seqs,test,0.3772946859903381,0.3856321839080459,0.3809523809523809,241,2CNN_pool,2000,120,0,0.3531220900319918,893,38.69461727142334
0,2CNN_pool_fold3_60bp_2000seqs,train,0.7757885763000852,0.9951865222623344,0.8611560044893377,1422,2CNN_pool,2000,60,3,0.2366972954085703,1116,64.70433235168457
1,2CNN_pool_fold3_60bp_2000seqs,test,0.3246124031007751,0.3218059558117195,0.3232030873130728,356,2CNN_pool,2000,60,3,0.2366972954085703,1116,64.70433235168457
0,2CNN_pool_fold3_70bp_10000seqs,train,0.8634646962233169,0.9974293059125964,0.922523569280946,6011,2CNN_pool,10000,70,3,0.05451780166762,1713,341.77211809158325
1,2CNN_pool_fold3_70bp_10000seqs,test,0.7436285913013382,0.9523931916838017,0.8226349355883035,1503,2CNN_pool,10000,70,3,0.05451780166762,1713,341.77211809158325
0,2CNN_pool_fold3_120bp_10000seqs,train,0.977777777777778,0.9995363931386184,0.9884355767115812,4495,2CNN_pool,10000,120,3,0.1467826594449447,2955,428.20783591270447
1,2CNN_pool_fold3_120bp_10000seqs,test,0.5959194533131686,0.5789434661723818,0.5854755661326693,1124,2CNN_pool,10000,120,3,0.1467826594449447,2955,428.20783591270447
0,2CNN_pool_fold3_90bp_10000seqs,train,0.9223677278542936,0.998390032199356,0.9572981338592332,4928,2CNN_pool,10000,90,3,0.1282813043030702,2392,380.1550107002258
1,2CNN_pool_fold3_90bp_10000seqs,test,0.6834035600055626,0.7903684197135079,0.7278490740029201,1233,2CNN_pool,10000,90,3,0.1282813043030702,2392,380.1550107002258
0,2CNN_pool_fold3_60bp_6000seqs,train,0.8890881147540983,0.9982060481804202,0.9376114369592876,4006,2CNN_pool,6000,60,3,0.1206773663843106,2405,308.9975111484528
1,2CNN_pool_fold3_60bp_6000seqs,test,0.5620600428164516,0.6310336976320583,0.5900681981269035,1002,2CNN_pool,6000,60,3,0.1206773663843106,2405,308.9975111484528
0,2CNN_pool_fold1_130bp_10000seqs,train,0.9224184055644732,0.9982573539662624,0.9577990932516934,4965,2CNN_pool,10000,130,1,0.2040080916670401,2250,370.0785131454468
1,2CNN_pool_fold1_130bp_10000seqs,test,0.5310992575031692,0.5571906354515049,0.5410521958909056,1242,2CNN_pool,10000,130,1,0.2040080916670401,2250,370.0785131454468
