,model_name,split,mac_precision,mac_recall,mac_f1,support,model_type,ds_size,seq_len,fold,best_val_score,epoch_stop,total_time
1,2CNN_pool_fold0_110bp_10000seqs,test,0.987134964112775,0.9959242761692652,0.9914629482660948,2000,2CNN_pool,10000,110,0,0.0155037591010332,3238,826.638167142868
0,2CNN_pool_fold0_80bp_2000seqs,train,0.9847994127045818,0.9990662931839402,0.9918442627624032,1600,2CNN_pool,2000,80,0,0.1123807334899902,4364,232.4239661693573
1,2CNN_pool_fold0_80bp_2000seqs,test,0.871300793265339,0.8771038850322738,0.8671532379397547,400,2CNN_pool,2000,80,0,0.1123807334899902,4364,232.4239661693573
0,2CNN_pool_fold1_130bp_6000seqs,train,1.0,1.0,1.0,4800,2CNN_pool,6000,130,1,0.0466866357127825,4577,675.6585705280304
1,2CNN_pool_fold1_130bp_6000seqs,test,0.9495516662269186,0.9804965541970172,0.9637728877260048,1200,2CNN_pool,6000,130,1,0.0466866357127825,4577,675.6585705280304
0,2CNN_pool_fold4_140bp_6000seqs,train,0.97820562187139,0.9986843123597244,0.9882156818794142,4800,2CNN_pool,6000,140,4,0.0819658734401067,2159,368.9727861881256
1,2CNN_pool_fold4_140bp_6000seqs,test,0.8882268361788633,0.9598126777792516,0.9215052955974428,1200,2CNN_pool,6000,140,4,0.0819658734401067,2159,368.9727861881256
0,2CNN_pool_fold1_80bp_10000seqs,train,0.9673600622699244,0.9980031577969722,0.9822137160566607,8000,2CNN_pool,10000,80,1,0.036784003958106,1498,439.3524813652039
1,2CNN_pool_fold1_80bp_10000seqs,test,0.936062498393853,0.9959123002601264,0.9643302146038516,2000,2CNN_pool,10000,80,1,0.036784003958106,1498,439.3524813652039
0,2CNN_pool_fold1_30bp_10000seqs,train,0.9389149942446086,0.996037296037296,0.9658949046640728,8000,2CNN_pool,10000,30,1,0.0353470783531665,3132,847.3292148113251
1,2CNN_pool_fold1_30bp_10000seqs,test,0.9220229885057472,0.9947770938257788,0.9558698455881696,2000,2CNN_pool,10000,30,1,0.0353470783531665,3132,847.3292148113251
0,2CNN_pool_fold2_50bp_6000seqs,train,0.94302506468562,0.995860668541081,0.9678833728089228,4800,2CNN_pool,6000,50,2,0.0630173596243063,2516,407.13119316101074
1,2CNN_pool_fold2_50bp_6000seqs,test,0.845703276083023,0.982625292609758,0.9042247945983416,1200,2CNN_pool,6000,50,2,0.0630173596243063,2516,407.13119316101074
0,2CNN_pool_fold0_120bp_10000seqs,train,0.9974782494990572,0.9990835292090524,0.9982758172816172,8000,2CNN_pool,10000,120,0,0.0224457695186138,2530,672.6700460910797
1,2CNN_pool_fold0_120bp_10000seqs,test,0.9827300711951448,0.9828971009700176,0.9827533555466696,2000,2CNN_pool,10000,120,0,0.0224457695186138,2530,672.6700460910797
0,2CNN_pool_fold1_40bp_10000seqs,train,0.9698401796616084,0.9981899192425508,0.9836485352725972,8000,2CNN_pool,10000,40,1,0.0295113095007836,4634,1137.4837362766266
1,2CNN_pool_fold1_40bp_10000seqs,test,0.9480381665774924,0.990335146129018,0.9683779124101703,2000,2CNN_pool,10000,40,1,0.0295113095007836,4634,1137.4837362766266
0,2CNN_pool_fold2_150bp_2000seqs,train,0.7425642718304178,0.9753774680603948,0.8269031274973336,1600,2CNN_pool,2000,150,2,0.7782814908027649,1059,79.01308536529541
1,2CNN_pool_fold2_150bp_2000seqs,test,0.3357734204793028,0.3475682009108192,0.3329645897727889,400,2CNN_pool,2000,150,2,0.7782814908027649,1059,79.01308536529541
0,2CNN_pool_fold0_50bp_10000seqs,train,0.9759521763302232,0.9977618573478728,0.9864372572843614,8000,2CNN_pool,10000,50,0,0.0301990754455328,1743,493.9160029888153
1,2CNN_pool_fold0_50bp_10000seqs,test,0.9554850877950294,0.9908652783304596,0.9718242621002656,2000,2CNN_pool,10000,50,0,0.0301990754455328,1743,493.9160029888153
0,2CNN_pool_fold4_130bp_10000seqs,train,0.999172870140612,0.9999536844055392,0.9995627619188592,8000,2CNN_pool,10000,130,4,0.0139041943512856,3052,810.8619692325592
1,2CNN_pool_fold4_130bp_10000seqs,test,0.9994450610432852,0.99003300330033,0.994696921201582,2000,2CNN_pool,10000,130,4,0.0139041943512856,3052,810.8619692325592
0,2CNN_pool_fold4_90bp_10000seqs,train,0.9975947684744128,0.9998606854276958,0.9987253287347598,8000,2CNN_pool,10000,90,4,0.0169138568043708,3538,879.3800308704376
1,2CNN_pool_fold4_90bp_10000seqs,test,0.9866794005337984,0.992778794444094,0.9896969613618382,2000,2CNN_pool,10000,90,4,0.0169138568043708,3538,879.3800308704376
0,2CNN_pool_fold4_140bp_2000seqs,train,0.9547619047619048,0.9972183588317108,0.9749988862455784,1600,2CNN_pool,2000,140,4,0.5592256641387939,2555,148.48842811584473
1,2CNN_pool_fold4_140bp_2000seqs,test,0.5151226482495832,0.4944444444444444,0.5038944596955647,400,2CNN_pool,2000,140,4,0.5592256641387939,2555,148.48842811584473
0,2CNN_pool_fold2_60bp_10000seqs,train,0.9847572362278244,0.999119269457192,0.9918439151192402,8000,2CNN_pool,10000,60,2,0.026925856411457,3788,926.5118172168732
1,2CNN_pool_fold2_60bp_10000seqs,test,0.9657539649996302,0.991359389881277,0.9780935390167844,2000,2CNN_pool,10000,60,2,0.026925856411457,3788,926.5118172168732
0,2CNN_pool_fold3_60bp_10000seqs,train,0.9886672336002644,0.9993510406526678,0.9939441578359346,8000,2CNN_pool,10000,60,3,0.0250273256450891,4811,1082.797337770462
1,2CNN_pool_fold3_60bp_10000seqs,test,0.96803714657806,0.9914794215795328,0.9794603731753968,2000,2CNN_pool,10000,60,3,0.0250273256450891,4811,1082.797337770462
0,2CNN_pool_fold2_140bp_2000seqs,train,0.8880503144654087,0.9921186833565137,0.933905058476121,1600,2CNN_pool,2000,140,2,0.6051983618736267,1468,95.90822553634644
